|Source: Census projections from 2012_Pop_Projection/NP2012_D4.csv for ages over 25
year	age	male	hispan
2008	25	0	0	8879
2008	26	0	0	8937
2008	27	0	0	8713
2008	28	0	0	8219
2008	29	0	0	7532
2008	30	0	0	6659
2008	31	0	0	5902
2008	32	0	0	5259
2008	33	0	0	4684
2008	34	0	0	4243
2008	35	0	0	3785
2008	36	0	0	3503
2008	37	0	0	3289
2008	38	0	0	3100
2008	39	0	0	2930
2008	40	0	0	2654
2008	41	0	0	2391
2008	42	0	0	2120
2008	43	0	0	1893
2008	44	0	0	1723
2008	45	0	0	1473
2008	46	0	0	1319
2008	47	0	0	1203
2008	48	0	0	1085
2008	49	0	0	1036
2008	50	0	0	960
2008	51	0	0	982
2008	52	0	0	996
2008	53	0	0	906
2008	54	0	0	830
2008	55	0	0	774
2008	56	0	0	842
2008	57	0	0	937
2008	58	0	0	962
2008	59	0	0	1042
2008	60	0	0	1057
2008	61	0	0	1019
2008	62	0	0	983
2008	63	0	0	925
2008	64	0	0	892
2008	65	0	0	867
2008	66	0	0	848
2008	67	0	0	836
2008	68	0	0	821
2008	69	0	0	707
2008	70	0	0	535
2008	71	0	0	576
2008	72	0	0	587
2008	73	0	0	483
2008	74	0	0	433
2008	75	0	0	367
2008	76	0	0	285
2008	77	0	0	200
2008	78	0	0	169
2008	79	0	0	151
2008	80	0	0	81
2008	81	0	0	69
2008	82	0	0	84
2008	83	0	0	42
2008	84	0	0	1
2008	85	0	0	-80
2008	25	0	1	3621
2008	26	0	1	3347
2008	27	0	1	3088
2008	28	0	1	2892
2008	29	0	1	2791
2008	30	0	1	2650
2008	31	0	1	2507
2008	32	0	1	2329
2008	33	0	1	2103
2008	34	0	1	1862
2008	35	0	1	1611
2008	36	0	1	1476
2008	37	0	1	1330
2008	38	0	1	1134
2008	39	0	1	997
2008	40	0	1	865
2008	41	0	1	779
2008	42	0	1	709
2008	43	0	1	620
2008	44	0	1	668
2008	45	0	1	640
2008	46	0	1	583
2008	47	0	1	612
2008	48	0	1	559
2008	49	0	1	511
2008	50	0	1	420
2008	51	0	1	422
2008	52	0	1	501
2008	53	0	1	452
2008	54	0	1	469
2008	55	0	1	468
2008	56	0	1	495
2008	57	0	1	517
2008	58	0	1	584
2008	59	0	1	569
2008	60	0	1	493
2008	61	0	1	507
2008	62	0	1	431
2008	63	0	1	428
2008	64	0	1	493
2008	65	0	1	471
2008	66	0	1	435
2008	67	0	1	382
2008	68	0	1	310
2008	69	0	1	285
2008	70	0	1	294
2008	71	0	1	298
2008	72	0	1	302
2008	73	0	1	248
2008	74	0	1	232
2008	75	0	1	186
2008	76	0	1	161
2008	77	0	1	180
2008	78	0	1	178
2008	79	0	1	166
2008	80	0	1	129
2008	81	0	1	133
2008	82	0	1	128
2008	83	0	1	112
2008	84	0	1	104
2008	85	0	1	583
2008	25	1	0	7522
2008	26	1	0	7390
2008	27	1	0	7042
2008	28	1	0	6665
2008	29	1	0	6320
2008	30	1	0	5849
2008	31	1	0	5402
2008	32	1	0	4994
2008	33	1	0	4472
2008	34	1	0	3996
2008	35	1	0	3497
2008	36	1	0	3096
2008	37	1	0	2843
2008	38	1	0	2594
2008	39	1	0	2439
2008	40	1	0	2226
2008	41	1	0	2013
2008	42	1	0	1816
2008	43	1	0	1597
2008	44	1	0	1445
2008	45	1	0	1299
2008	46	1	0	1216
2008	47	1	0	1127
2008	48	1	0	1001
2008	49	1	0	940
2008	50	1	0	780
2008	51	1	0	670
2008	52	1	0	646
2008	53	1	0	572
2008	54	1	0	519
2008	55	1	0	464
2008	56	1	0	449
2008	57	1	0	477
2008	58	1	0	479
2008	59	1	0	485
2008	60	1	0	361
2008	61	1	0	275
2008	62	1	0	326
2008	63	1	0	370
2008	64	1	0	513
2008	65	1	0	577
2008	66	1	0	621
2008	67	1	0	682
2008	68	1	0	634
2008	69	1	0	620
2008	70	1	0	545
2008	71	1	0	538
2008	72	1	0	534
2008	73	1	0	449
2008	74	1	0	384
2008	75	1	0	302
2008	76	1	0	243
2008	77	1	0	230
2008	78	1	0	195
2008	79	1	0	147
2008	80	1	0	104
2008	81	1	0	70
2008	82	1	0	64
2008	83	1	0	42
2008	84	1	0	41
2008	85	1	0	86
2008	25	1	1	5545
2008	26	1	1	5132
2008	27	1	1	4776
2008	28	1	1	4374
2008	29	1	1	4123
2008	30	1	1	3461
2008	31	1	1	3027
2008	32	1	1	2864
2008	33	1	1	2494
2008	34	1	1	2264
2008	35	1	1	1786
2008	36	1	1	1531
2008	37	1	1	1536
2008	38	1	1	1281
2008	39	1	1	1190
2008	40	1	1	971
2008	41	1	1	860
2008	42	1	1	879
2008	43	1	1	665
2008	44	1	1	708
2008	45	1	1	579
2008	46	1	1	453
2008	47	1	1	512
2008	48	1	1	456
2008	49	1	1	506
2008	50	1	1	456
2008	51	1	1	360
2008	52	1	1	367
2008	53	1	1	388
2008	54	1	1	297
2008	55	1	1	160
2008	56	1	1	182
2008	57	1	1	274
2008	58	1	1	297
2008	59	1	1	270
2008	60	1	1	232
2008	61	1	1	243
2008	62	1	1	276
2008	63	1	1	258
2008	64	1	1	292
2008	65	1	1	259
2008	66	1	1	204
2008	67	1	1	203
2008	68	1	1	189
2008	69	1	1	184
2008	70	1	1	153
2008	71	1	1	150
2008	72	1	1	154
2008	73	1	1	151
2008	74	1	1	154
2008	75	1	1	117
2008	76	1	1	107
2008	77	1	1	98
2008	78	1	1	85
2008	79	1	1	97
2008	80	1	1	85
